,obs_start_dt,release_dt,value
0,1948-01-01,1996-12-06,56.6
1,1948-02-01,1996-12-06,56.7
2,1948-03-01,1996-12-06,56.1
3,1948-04-01,1996-12-06,56.7
4,1948-05-01,1996-12-06,56.2
5,1948-06-01,1996-12-06,57.0
6,1948-07-01,1996-12-06,57.1
7,1948-08-01,1996-12-06,56.6
8,1948-09-01,1996-12-06,56.6
9,1948-10-01,1996-12-06,56.5
10,1948-11-01,1996-12-06,56.5
11,1948-12-01,1996-12-06,56.8
12,1949-01-01,1996-12-06,56.2
13,1949-02-01,1996-12-06,56.2
14,1949-03-01,1996-12-06,56.0
15,1949-04-01,1996-12-06,55.7
16,1949-05-01,1996-12-06,55.4
17,1949-06-01,1996-12-06,55.0
18,1949-07-01,1996-12-06,55.0
19,1949-08-01,1996-12-06,55.1
20,1949-09-01,1996-12-06,55.3
21,1949-10-01,1996-12-06,54.9
22,1949-11-01,1996-12-06,55.6
23,1949-12-01,1996-12-06,55.3
24,1950-01-01,1996-12-06,55.1
25,1950-02-01,1996-12-06,55.1
26,1950-03-01,1996-12-06,55.1
27,1950-04-01,1996-12-06,55.8
28,1950-05-01,1996-12-06,55.8
29,1950-06-01,1996-12-06,56.2
30,1950-07-01,1996-12-06,56.1
31,1950-08-01,1996-12-06,56.8
32,1950-09-01,1996-12-06,56.6
33,1950-10-01,1996-12-06,56.9
34,1950-11-01,1996-12-06,56.9
35,1950-12-01,1996-12-06,56.7
36,1951-01-01,1996-12-06,56.9
37,1951-02-01,1996-12-06,57.0
38,1951-03-01,1996-12-06,57.7
39,1951-04-01,1996-12-06,57.3
40,1951-05-01,1996-12-06,57.6
41,1951-06-01,1996-12-06,57.1
42,1951-07-01,1996-12-06,57.6
43,1951-08-01,1996-12-06,57.4
44,1951-09-01,1996-12-06,57.1
45,1951-10-01,1996-12-06,57.3
46,1951-11-01,1996-12-06,57.1
47,1951-12-01,1996-12-06,57.7
48,1952-01-01,1996-12-06,57.7
49,1952-02-01,1996-12-06,57.7
50,1952-03-01,1996-12-06,57.1
51,1952-04-01,1996-12-06,57.1
52,1952-05-01,1996-12-06,57.3
53,1952-06-01,1996-12-06,57.3
54,1952-07-01,1996-12-06,57.0
55,1952-08-01,1996-12-06,56.8
56,1952-09-01,1996-12-06,57.4
57,1952-10-01,1996-12-06,56.9
58,1952-11-01,1996-12-06,57.5
59,1952-12-01,1996-12-06,57.6
60,1953-01-01,1996-12-06,57.8
61,1953-02-01,1996-12-06,58.0
62,1953-03-01,1996-12-06,58.1
63,1953-04-01,1996-12-06,57.5
64,1953-05-01,1996-12-06,57.1
65,1953-06-01,1996-12-06,57.4
66,1953-07-01,1996-12-06,57.4
67,1953-08-01,1996-12-06,57.1
68,1953-09-01,1996-12-06,56.8
69,1953-10-01,1996-12-06,56.7
70,1953-11-01,1996-12-06,56.5
71,1953-12-01,1996-12-06,55.7
72,1954-01-01,1996-12-06,55.7
