,obs_start_dt,release_dt,value
0,1959-01-01,1960-07-21,1533.0
1,1959-02-01,1960-07-21,1546.0
2,1959-03-01,1960-07-21,1598.0
3,1959-04-01,1960-07-21,1613.0
4,1959-05-01,1960-07-21,1597.0
5,1959-06-01,1960-07-21,1577.0
6,1959-07-01,1960-07-21,1578.0
7,1959-08-01,1960-07-21,1450.0
8,1959-09-01,1960-07-21,1509.0
9,1959-10-01,1960-07-21,1378.0
10,1959-11-01,1960-07-21,1356.0
11,1959-12-01,1960-07-21,1451.0
12,1960-01-01,1960-07-21,1366.0
13,1960-02-01,1960-07-21,1367.0
14,1960-03-01,1960-07-21,1112.0
15,1960-04-01,1960-07-21,1325.0
16,1960-05-01,1960-07-21,1336.0
17,1960-06-01,1960-07-21,1334.0
18,1960-07-01,1960-08-18,1173.0
19,1960-08-01,1960-09-19,1275.0
20,1960-09-01,1960-10-18,1077.0
21,1960-10-01,1960-11-17,1231.0
22,1960-11-01,1960-12-16,1235.0
23,1960-12-01,1961-01-17,990.0
24,1961-01-01,1961-02-16,1098.0
25,1961-02-01,1961-03-16,1154.0
26,1961-03-01,1961-04-14,1283.0
27,1961-04-01,1961-05-17,1233.0
28,1961-05-01,1961-06-16,1298.0
29,1961-06-01,1961-07-19,1374.0
30,1961-07-01,1961-08-18,1317.0
31,1961-08-01,1961-09-19,1317.0
32,1961-09-01,1961-10-17,1360.0
33,1961-10-01,1961-11-17,1442.0
34,1961-11-01,1961-12-18,1350.0
35,1961-12-01,1962-01-18,1306.0
36,1962-01-01,1962-02-16,1292.0
37,1962-02-01,1962-03-20,1126.0
38,1962-03-01,1962-04-17,1409.0
39,1962-04-01,1962-05-17,1542.0
40,1962-05-01,1962-06-18,1587.0
41,1962-06-01,1962-07-17,1389.0
42,1962-07-01,1962-08-17,1407.0
43,1962-08-01,1962-09-18,1521.0
44,1962-09-01,1962-10-19,1312.0
45,1962-10-01,1962-11-19,1497.0
46,1962-11-01,1962-12-19,1544.0
47,1962-12-01,1963-01-17,1499.0
48,1963-01-01,1963-02-19,1242.0
49,1963-02-01,1963-03-19,1280.0
50,1963-03-01,1963-04-17,1494.0
51,1963-04-01,1963-05-17,1627.0
52,1963-05-01,1963-06-18,1722.0
53,1963-06-01,1963-07-19,1586.0
54,1963-07-01,1963-08-20,1513.0
55,1963-08-01,1963-09-20,1513.0
56,1963-09-01,1963-10-17,1687.0
57,1963-10-01,1963-11-20,1876.0
58,1963-11-01,1963-12-18,1528.0
59,1963-12-01,1964-01-16,1597.0
60,1964-01-01,1964-02-18,1700.0
61,1964-02-01,1964-03-17,1643.0
62,1964-03-01,1964-04-17,1648.0
63,1964-04-01,1964-05-19,1558.0
64,1964-05-01,1964-06-18,1501.0
65,1964-06-01,1964-07-17,1577.0
66,1964-07-01,1964-08-19,1517.0
67,1964-08-01,1964-09-18,1402.0
68,1964-09-01,1964-10-19,1484.0
69,1964-10-01,1964-11-18,1600.0
70,1964-11-01,1964-12-17,1420.0
71,1964-12-01,1965-01-19,1541.0
72,1965-01-01,1965-02-18,1487.0
73,1965-02-01,1965-03-17,1422.0
74,1965-03-01,1965-04-19,1549.0
75,1965-04-01,1965-05-19,1548.0
76,1965-05-01,1965-06-18,1484.0
77,1965-06-01,1965-07-19,1531.0
78,1965-07-01,1965-08-18,1459.0
79,1965-08-01,1965-09-17,1402.0
80,1965-09-01,1965-10-19,1424.0
81,1965-10-01,1965-11-18,1402.0
82,1965-11-01,1965-12-17,1534.0
83,1965-12-01,1966-01-19,1746.0
84,1966-01-01,1966-02-17,1537.0
85,1966-02-01,1966-03-18,1318.0
86,1966-03-01,1966-04-18,1543.0
87,1966-04-01,1966-05-19,1495.0
88,1966-05-01,1966-06-20,1306.0
89,1966-06-01,1966-07-19,1288.0
90,1966-07-01,1966-08-18,1064.0
91,1966-08-01,1966-09-20,1057.0
92,1966-09-01,1966-10-18,1073.0
93,1966-10-01,1966-11-17,848.0
94,1966-11-01,1966-12-16,1000.0
95,1966-12-01,1967-01-16,1102.0
96,1967-01-01,1967-02-15,1243.0
97,1967-02-01,1967-03-15,1089.0
98,1967-03-01,1967-04-17,1171.0
99,1967-04-01,1967-05-16,1171.0
100,1967-05-01,1967-06-16,1310.0
101,1967-06-01,1967-07-18,1302.0
102,1967-07-01,1967-08-16,1360.0
103,1967-08-01,1967-09-18,1381.0
104,1967-09-01,1967-10-16,1457.0
105,1967-10-01,1967-11-16,1496.0
106,1967-11-01,1967-12-18,1556.0
107,1967-12-01,1968-01-17,1256.0
108,1968-01-01,1968-02-16,1445.0
109,1968-02-01,1968-03-15,1566.0
110,1968-03-01,1968-04-17,1476.0
111,1968-04-01,1968-05-17,1620.0
112,1968-05-01,1968-06-20,1331.0
113,1968-06-01,1968-07-17,1313.0
114,1968-07-01,1968-08-16,1539.0
115,1968-08-01,1968-09-17,1508.0
116,1968-09-01,1968-10-16,1598.0
117,1968-10-01,1968-11-18,1548.0
118,1968-11-01,1968-12-17,1677.0
119,1968-12-01,1969-01-16,1454.0
120,1969-01-01,1969-02-17,1816.0
121,1969-02-01,1969-03-17,1700.0
122,1969-03-01,1969-04-15,1539.0
123,1969-04-01,1969-05-15,1543.0
124,1969-05-01,1969-06-17,1509.0
125,1969-06-01,1969-07-16,1446.0
126,1969-07-01,1969-08-15,1336.0
127,1969-08-01,1969-09-16,1336.0
128,1969-09-01,1969-10-16,1518.0
129,1969-10-01,1969-11-18,1342.0
130,1969-11-01,1969-12-17,1287.0
131,1969-12-01,1970-01-16,1245.0
132,1970-01-01,1970-02-17,1166.0
133,1970-02-01,1970-03-16,1321.0
134,1970-03-01,1970-04-16,1383.0
135,1970-04-01,1970-05-15,1181.0
136,1970-05-01,1970-06-16,1200.0
137,1970-06-01,1970-07-16,1358.0
138,1970-07-01,1970-08-17,1585.0
139,1970-08-01,1970-09-17,1431.0
140,1970-09-01,1970-10-16,1504.0
141,1970-10-01,1970-11-17,1550.0
142,1970-11-01,1970-12-17,1692.0
143,1970-12-01,1971-01-18,1987.0
144,1971-01-01,1971-02-18,1701.0
145,1971-02-01,1971-03-17,1715.0
146,1971-03-01,1971-04-16,1918.0
147,1971-04-01,1971-05-18,1903.0
148,1971-05-01,1971-06-16,1931.0
149,1971-06-01,1971-07-19,1982.0
150,1971-07-01,1971-08-17,2218.0
151,1971-08-01,1971-09-17,2228.0
152,1971-09-01,1971-10-18,1958.0
153,1971-10-01,1971-11-16,2050.0
154,1971-11-01,1971-12-16,2316.0
155,1971-12-01,1972-01-18,2517.0
156,1972-01-01,1972-02-16,2549.0
157,1972-02-01,1972-03-17,2678.0
158,1972-03-01,1972-04-18,2359.0
159,1972-04-01,1972-05-16,2115.0
160,1972-05-01,1972-06-16,2322.0
161,1972-06-01,1972-07-19,2298.0
162,1972-07-01,1972-08-16,2181.0
163,1972-08-01,1972-09-19,2457.0
164,1972-09-01,1972-10-18,2352.0
165,1972-10-01,1972-11-16,2410.0
166,1972-11-01,1972-12-18,2445.0
167,1972-12-01,1973-01-17,2392.0
168,1973-01-01,1973-02-16,2468.0
169,1973-02-01,1973-03-16,2444.0
170,1973-03-01,1973-04-17,2259.0
171,1973-04-01,1973-05-16,2103.0
172,1973-05-01,1973-06-18,2430.0
173,1973-06-01,1973-07-18,2119.0
174,1973-07-01,1973-08-16,2176.0
175,1973-08-01,1973-09-19,2045.0
176,1973-09-01,1973-10-17,1763.0
177,1973-10-01,1973-11-16,1613.0
178,1973-11-01,1973-12-18,1698.0
179,1973-12-01,1974-01-17,1355.0
180,1974-01-01,1974-02-19,1486.0
181,1974-02-01,1974-03-18,1800.0
182,1974-03-01,1974-04-19,1460.0
183,1974-04-01,1974-05-16,1626.0
184,1974-05-01,1974-06-18,1450.0
185,1974-06-01,1974-07-17,1595.0
186,1974-07-01,1974-08-16,1335.0
187,1974-08-01,1974-09-18,1126.0
188,1974-09-01,1974-10-17,1120.0
