,obs_start_dt,release_dt,value
0,1972-01-01,2007-12-14,38.8388
1,1972-02-01,2007-12-14,39.1037
2,1972-03-01,2007-12-14,39.3879
3,1972-04-01,2007-12-14,39.8537
4,1972-05-01,2007-12-14,39.9367
5,1972-06-01,2007-12-14,40.0929
6,1972-07-01,2007-12-14,40.135
7,1972-08-01,2007-12-14,40.6515
8,1972-09-01,2007-12-14,40.9485
9,1972-10-01,2007-12-14,41.5607
10,1972-11-01,2007-12-14,42.1084
11,1972-12-01,2007-12-14,42.7076
12,1973-01-01,2007-12-14,42.9777
13,1973-02-01,2007-12-14,43.7126
14,1973-03-01,2007-12-14,43.7692
15,1973-04-01,2007-12-14,43.7015
16,1973-05-01,2007-12-14,44.013
17,1973-06-01,2007-12-14,44.0174
18,1973-07-01,2007-12-14,44.2369
19,1973-08-01,2007-12-14,44.0955
20,1973-09-01,2007-12-14,44.5152
21,1973-10-01,2007-12-14,44.8821
22,1973-11-01,2007-12-14,45.2077
23,1973-12-01,2007-12-14,45.2307
24,1974-01-01,2007-12-14,44.8356
25,1974-02-01,2007-12-14,44.6663
26,1974-03-01,2007-12-14,44.6422
27,1974-04-01,2007-12-14,44.4889
28,1974-05-01,2007-12-14,44.7472
29,1974-06-01,2007-12-14,44.7981
30,1974-07-01,2007-12-14,44.7146
31,1974-08-01,2007-12-14,44.3587
32,1974-09-01,2007-12-14,44.4504
33,1974-10-01,2007-12-14,44.1091
34,1974-11-01,2007-12-14,42.7548
35,1974-12-01,2007-12-14,40.7951
36,1975-01-01,2007-12-14,39.9512
37,1975-02-01,2007-12-14,38.7743
38,1975-03-01,2007-12-14,38.2584
39,1975-04-01,2007-12-14,38.1944
40,1975-05-01,2007-12-14,38.1793
41,1975-06-01,2007-12-14,38.528
42,1975-07-01,2007-12-14,39.1289
43,1975-08-01,2007-12-14,39.502
44,1975-09-01,2007-12-14,40.2056
45,1975-10-01,2007-12-14,40.403
46,1975-11-01,2007-12-14,40.5394
47,1975-12-01,2007-12-14,41.059
48,1976-01-01,2007-12-14,41.6225
49,1976-02-01,2007-12-14,42.2281
50,1976-03-01,2007-12-14,42.3046
51,1976-04-01,2007-12-14,42.596
52,1976-05-01,2007-12-14,42.8121
53,1976-06-01,2007-12-14,42.8326
54,1976-07-01,2007-12-14,43.1397
55,1976-08-01,2007-12-14,43.4213
56,1976-09-01,2007-12-14,43.504
57,1976-10-01,2007-12-14,43.5171
58,1976-11-01,2007-12-14,44.0877
59,1976-12-01,2007-12-14,44.5595
60,1977-01-01,2007-12-14,44.4394
61,1977-02-01,2007-12-14,45.2242
62,1977-03-01,2007-12-14,45.8984
63,1977-04-01,2007-12-14,46.3677
64,1977-05-01,2007-12-14,46.73
65,1977-06-01,2007-12-14,47.1133
66,1977-07-01,2007-12-14,47.1776
67,1977-08-01,2007-12-14,47.448
68,1977-09-01,2007-12-14,47.5068
69,1977-10-01,2007-12-14,47.65
70,1977-11-01,2007-12-14,47.708
71,1977-12-01,2007-12-14,48.259
72,1978-01-01,2007-12-14,47.5581
73,1978-02-01,2007-12-14,47.6846
74,1978-03-01,2007-12-14,48.4781
75,1978-04-01,2007-12-14,49.2913
76,1978-05-01,2007-12-14,49.4554
77,1978-06-01,2007-12-14,49.8857
78,1978-07-01,2007-12-14,49.852
79,1978-08-01,2007-12-14,50.1173
80,1978-09-01,2007-12-14,50.38
81,1978-10-01,2007-12-14,50.7829
82,1978-11-01,2007-12-14,51.2733
83,1978-12-01,2007-12-14,51.6822
84,1979-01-01,2007-12-14,51.2397
85,1979-02-01,2007-12-14,51.4759
86,1979-03-01,2007-12-14,51.7207
87,1979-04-01,2007-12-14,50.9344
88,1979-05-01,2007-12-14,51.5592
89,1979-06-01,2007-12-14,51.6402
90,1979-07-01,2007-12-14,51.6653
91,1979-08-01,2007-12-14,50.9487
92,1979-09-01,2007-12-14,51.0712
93,1979-10-01,2007-12-14,51.2575
94,1979-11-01,2007-12-14,51.1064
95,1979-12-01,2007-12-14,51.277
96,1980-01-01,2007-12-14,51.4963
97,1980-02-01,2007-12-14,51.4391
98,1980-03-01,2007-12-14,51.0532
99,1980-04-01,2007-12-14,49.9879
100,1980-05-01,2007-12-14,48.3845
101,1980-06-01,2007-12-14,47.6115
102,1980-07-01,2007-12-14,47.1288
103,1980-08-01,2007-12-14,47.4772
104,1980-09-01,2007-12-14,48.2743
105,1980-10-01,2007-12-14,49.181
106,1980-11-01,2007-12-14,50.1152
107,1980-12-01,2007-12-14,50.2495
108,1981-01-01,2007-12-14,50.1025
109,1981-02-01,2007-12-14,49.7821
110,1981-03-01,2007-12-14,49.9882
111,1981-04-01,2007-12-14,50.2282
112,1981-05-01,2007-12-14,50.5356
113,1981-06-01,2007-12-14,50.2947
114,1981-07-01,2007-12-14,50.4176
115,1981-08-01,2007-12-14,50.4747
116,1981-09-01,2007-12-14,50.2102
117,1981-10-01,2007-12-14,49.6967
118,1981-11-01,2007-12-14,49.0966
119,1981-12-01,2007-12-14,48.2457
120,1982-01-01,2007-12-14,47.1177
121,1982-02-01,2007-12-14,48.3985
122,1982-03-01,2007-12-14,48.0236
123,1982-04-01,2007-12-14,47.7279
124,1982-05-01,2007-12-14,47.6262
125,1982-06-01,2007-12-14,47.515
