,obs_start_dt,release_dt,value
0,1990-02-01,2010-11-08,-0.03
1,1990-03-01,2010-11-08,-0.14
2,1990-04-01,2010-11-08,0.01
3,1990-05-01,2010-11-08,-0.22
4,1990-06-01,2010-11-08,-0.2
5,1990-07-01,2010-11-08,-0.3
6,1990-08-01,2010-11-08,-0.01
7,1990-09-01,2010-11-08,0.35
8,1990-10-01,2010-11-08,0.55
9,1990-11-01,2010-11-08,0.53
10,1990-12-01,2010-11-08,0.73
11,1991-01-01,2010-11-08,0.72
12,1991-02-01,2010-11-08,0.6
13,1991-03-01,2010-11-08,0.1
14,1991-04-01,2010-11-08,-0.03
15,1991-05-01,2010-11-08,-0.2
16,1991-06-01,2010-11-08,-0.06
17,1991-07-01,2010-11-08,-0.2
18,1991-08-01,2010-11-08,-0.24
19,1991-09-01,2010-11-08,-0.29
20,1991-10-01,2010-11-08,-0.3
21,1991-11-01,2010-11-08,-0.2
22,1991-12-01,2010-11-08,-0.04
23,1992-01-01,2010-11-08,-0.01
24,1992-02-01,2010-11-08,-0.22
25,1992-03-01,2010-11-08,-0.52
26,1992-04-01,2010-11-08,-0.46
27,1992-05-01,2010-11-08,-0.69
28,1992-06-01,2010-11-08,-0.68
29,1992-07-01,2010-11-08,-0.43
30,1992-08-01,2010-11-08,-0.5
31,1992-09-01,2010-11-08,-0.42
32,1992-10-01,2010-11-08,-0.19
33,1992-11-01,2010-11-08,-0.34
34,1992-12-01,2010-11-08,-0.51
35,1993-01-01,2010-11-08,-0.46
36,1993-02-01,2010-11-08,-0.56
37,1993-03-01,2010-11-08,-0.37
38,1993-04-01,2010-11-08,-0.39
39,1993-05-01,2010-11-08,-0.48
40,1993-06-01,2010-11-08,-0.71
41,1993-07-01,2010-11-08,-0.75
42,1993-08-01,2010-11-08,-0.85
43,1993-09-01,2010-11-08,-0.73
44,1993-10-01,2010-11-08,-0.58
45,1993-11-01,2010-11-08,-0.66
46,1993-12-01,2010-11-08,-0.9
47,1994-01-01,2010-11-08,-0.93
48,1994-02-01,2010-11-08,-0.89
49,1994-03-01,2010-11-08,-0.84
50,1994-04-01,2010-11-08,-0.75
51,1994-05-01,2010-11-08,-0.95
52,1994-06-01,2010-11-08,-0.92
53,1994-07-01,2010-11-08,-1.01
54,1994-08-01,2010-11-08,-1.07
55,1994-09-01,2010-11-08,-0.98
56,1994-10-01,2010-11-08,-0.82
57,1994-11-01,2010-11-08,-0.84
58,1994-12-01,2010-11-08,-0.66
59,1995-01-01,2010-11-08,-0.7
60,1995-02-01,2010-11-08,-0.88
61,1995-03-01,2010-11-08,-0.88
62,1995-04-01,2010-11-08,-0.8
63,1995-05-01,2010-11-08,-0.94
64,1995-06-01,2010-11-08,-0.73
65,1995-07-01,2010-11-08,-0.79
66,1995-08-01,2010-11-08,-0.85
67,1995-09-01,2010-11-08,-0.79
68,1995-10-01,2010-11-08,-0.69
69,1995-11-01,2010-11-08,-0.79
70,1995-12-01,2010-11-08,-0.74
71,1996-01-01,2010-11-08,-0.72
72,1996-02-01,2010-11-08,-0.73
73,1996-03-01,2010-11-08,-0.78
74,1996-04-01,2010-11-08,-0.81
75,1996-05-01,2010-11-08,-0.95
76,1996-06-01,2010-11-08,-0.93
77,1996-07-01,2010-11-08,-0.87
78,1996-08-01,2010-11-08,-0.94
79,1996-09-01,2010-11-08,-0.96
80,1996-10-01,2010-11-08,-0.97
81,1996-11-01,2010-11-08,-0.86
82,1996-12-01,2010-11-08,-0.76
83,1997-01-01,2010-11-08,-0.83
84,1997-02-01,2010-11-08,-0.83
85,1997-03-01,2010-11-08,-0.74
86,1997-04-01,2010-11-08,-0.75
87,1997-05-01,2010-11-08,-0.76
88,1997-06-01,2010-11-08,-0.66
89,1997-07-01,2010-11-08,-0.7
90,1997-08-01,2010-11-08,-0.68
91,1997-09-01,2010-11-08,-0.54
92,1997-10-01,2010-11-08,-0.48
93,1997-11-01,2010-11-08,-0.13
94,1997-12-01,2010-11-08,-0.21
95,1998-01-01,2010-11-08,-0.19
96,1998-02-01,2010-11-08,-0.39
97,1998-03-01,2010-11-08,-0.35
98,1998-04-01,2010-11-08,-0.29
99,1998-05-01,2010-11-08,-0.43
100,1998-06-01,2010-11-08,-0.3
101,1998-07-01,2010-11-08,-0.2
102,1998-08-01,2010-11-08,0.22
103,1998-09-01,2010-11-08,0.68
104,1998-10-01,2010-11-08,1.16
105,1998-11-01,2010-11-08,0.54
106,1998-12-01,2010-11-08,0.64
107,1999-01-01,2010-11-08,0.67
108,1999-02-01,2010-11-08,0.64
109,1999-03-01,2010-11-08,0.43
110,1999-04-01,2010-11-08,0.36
111,1999-05-01,2010-11-08,0.21
112,1999-06-01,2010-11-08,0.0
113,1999-07-01,2010-11-08,0.17
114,1999-08-01,2010-11-08,0.32
115,1999-09-01,2010-11-08,0.47
116,1999-10-01,2010-11-08,0.57
117,1999-11-01,2010-11-08,0.33
118,1999-12-01,2010-11-08,0.29
119,2000-01-01,2010-11-08,0.39
120,2000-02-01,2010-11-08,0.18
121,2000-03-01,2010-11-08,0.55
122,2000-04-01,2010-11-08,0.92
123,2000-05-01,2010-11-08,0.94
124,2000-06-01,2010-11-08,0.94
125,2000-07-01,2010-11-08,0.58
126,2000-08-01,2010-11-08,0.34
127,2000-09-01,2010-11-08,0.57
128,2000-10-01,2010-11-08,0.76
129,2000-11-01,2010-11-08,0.77
130,2000-12-01,2010-11-08,0.97
131,2001-01-01,2010-11-08,0.91
132,2001-02-01,2010-11-08,0.51
133,2001-03-01,2010-11-08,0.77
134,2001-04-01,2010-11-08,0.71
135,2001-05-01,2010-11-08,0.26
136,2001-06-01,2010-11-08,0.36
137,2001-07-01,2010-11-08,0.17
138,2001-08-01,2010-11-08,0.22
139,2001-09-01,2010-11-08,0.92
140,2001-10-01,2010-11-08,0.82
141,2001-11-01,2010-11-08,0.43
142,2001-12-01,2010-11-08,0.32
143,2002-01-01,2010-11-08,0.2
144,2002-02-01,2010-11-08,0.24
145,2002-03-01,2010-11-08,0.18
146,2002-04-01,2010-11-08,0.12
147,2002-05-01,2010-11-08,0.02
