,obs_start_dt,release_dt,value
0,1967-07-01,1982-02-05,4.5
1,1967-08-01,1982-02-05,4.7
2,1967-09-01,1982-02-05,4.6
3,1967-10-01,1982-02-05,4.9
4,1967-11-01,1982-02-05,4.7
5,1967-12-01,1982-02-05,4.8
6,1968-01-01,1982-02-05,5.1
7,1968-02-01,1982-02-05,4.5
8,1968-03-01,1982-02-05,4.1
9,1968-04-01,1982-02-05,4.6
10,1968-05-01,1982-02-05,4.4
11,1968-06-01,1982-02-05,4.4
12,1968-07-01,1982-02-05,4.5
13,1968-08-01,1982-02-05,4.2
14,1968-09-01,1982-02-05,4.6
15,1968-10-01,1982-02-05,4.8
16,1968-11-01,1982-02-05,4.4
17,1968-12-01,1982-02-05,4.4
18,1969-01-01,1982-02-05,4.4
19,1969-02-01,1982-02-05,4.9
20,1969-03-01,1982-02-05,4.0
21,1969-04-01,1982-02-05,4.0
22,1969-05-01,1982-02-05,4.2
23,1969-06-01,1982-02-05,4.4
24,1969-07-01,1982-02-05,4.4
25,1969-08-01,1982-02-05,4.4
26,1969-09-01,1982-02-05,4.7
27,1969-10-01,1982-02-05,4.5
28,1969-11-01,1982-02-05,4.8
29,1969-12-01,1982-02-05,4.6
30,1970-01-01,1982-02-05,4.6
31,1970-02-01,1982-02-05,4.5
32,1970-03-01,1982-02-05,4.6
33,1970-04-01,1982-02-05,4.1
34,1970-05-01,1982-02-05,4.7
35,1970-06-01,1982-02-05,4.9
36,1970-07-01,1982-02-05,5.1
37,1970-08-01,1982-02-05,5.4
38,1970-09-01,1982-02-05,5.2
39,1970-10-01,1982-02-05,5.2
40,1970-11-01,1982-02-05,5.6
41,1970-12-01,1982-02-05,5.9
42,1971-01-01,1982-02-05,6.2
43,1971-02-01,1982-02-05,6.3
44,1971-03-01,1982-02-05,6.4
45,1971-04-01,1982-02-05,6.5
46,1971-05-01,1982-02-05,6.7
47,1971-06-01,1982-02-05,5.7
48,1971-07-01,1982-02-05,6.2
49,1971-08-01,1982-02-05,6.4
50,1971-09-01,1982-02-05,5.8
51,1971-10-01,1982-02-05,6.5
52,1971-11-01,1982-02-05,6.4
53,1971-12-01,1982-02-05,6.2
54,1972-01-01,1982-02-05,6.2
55,1972-02-01,1982-02-05,6.6
56,1972-03-01,1982-02-05,6.6
57,1972-04-01,1982-02-05,6.7
58,1972-05-01,1982-02-05,6.6
59,1972-06-01,1982-02-05,5.4
60,1972-07-01,1982-02-05,6.1
61,1972-08-01,1982-02-05,6.0
62,1972-09-01,1982-02-05,5.6
63,1972-10-01,1982-02-05,5.7
64,1972-11-01,1982-02-05,5.7
65,1972-12-01,1982-02-05,6.1
66,1973-01-01,1982-02-05,5.7
67,1973-02-01,1982-02-05,5.2
68,1973-03-01,1982-02-05,5.5
69,1973-04-01,1982-02-05,5.0
70,1973-05-01,1982-02-05,4.9
71,1973-06-01,1982-02-05,5.0
72,1973-07-01,1982-02-05,5.2
73,1973-08-01,1982-02-05,4.9
74,1973-09-01,1982-02-05,5.4
75,1973-10-01,1982-02-05,5.5
76,1973-11-01,1982-02-05,5.1
77,1973-12-01,1982-02-05,4.7
78,1974-01-01,1982-02-05,5.0
79,1974-02-01,1982-02-05,5.1
80,1974-03-01,1982-02-05,4.8
81,1974-04-01,1982-02-05,5.0
82,1974-05-01,1982-02-05,4.6
83,1974-06-01,1982-02-05,5.3
84,1974-07-01,1982-02-05,5.7
85,1974-08-01,1982-02-05,5.0
86,1974-09-01,1982-02-05,5.3
87,1974-10-01,1982-02-05,5.5
88,1974-11-01,1982-02-05,5.2
89,1974-12-01,1982-02-05,5.7
90,1975-01-01,1982-02-05,6.3
91,1975-02-01,1982-02-05,7.1
92,1975-03-01,1982-02-05,7.2
93,1975-04-01,1982-02-05,8.7
94,1975-05-01,1982-02-05,9.4
95,1975-06-01,1982-02-05,8.8
96,1975-07-01,1982-02-05,8.6
97,1975-08-01,1982-02-05,9.2
98,1975-09-01,1982-02-05,9.2
99,1975-10-01,1982-02-05,8.6
100,1975-11-01,1982-02-05,9.5
101,1975-12-01,1982-02-05,9.0
102,1976-01-01,1982-02-05,9.0
103,1976-02-01,1982-02-05,8.2
104,1976-03-01,1982-02-05,8.7
105,1976-04-01,1982-02-05,8.2
106,1976-05-01,1982-02-05,8.3
107,1976-06-01,1982-02-05,7.8
108,1976-07-01,1982-02-05,7.7
109,1976-08-01,1982-02-05,7.9
110,1976-09-01,1982-02-05,7.8
111,1976-10-01,1982-02-05,7.7
112,1976-11-01,1982-02-05,8.4
113,1976-12-01,1982-02-05,8.0
114,1977-01-01,1982-02-05,7.5
115,1977-02-01,1982-02-05,7.2
116,1977-03-01,1982-02-05,7.2
117,1977-04-01,1982-02-05,7.3
118,1977-05-01,1982-02-05,7.9
119,1977-06-01,1982-02-05,6.2
120,1977-07-01,1982-02-05,7.1
121,1977-08-01,1982-02-05,7.0
122,1977-09-01,1982-02-05,6.7
123,1977-10-01,1982-02-05,6.9
124,1977-11-01,1982-02-05,7.0
125,1977-12-01,1982-02-05,6.8
126,1978-01-01,1982-02-05,6.5
127,1978-02-01,1982-02-05,6.7
128,1978-03-01,1982-02-05,6.2
129,1978-04-01,1982-02-05,6.1
130,1978-05-01,1982-02-05,5.8
131,1978-06-01,1982-02-05,6.0
132,1978-07-01,1982-02-05,5.8
133,1978-08-01,1982-02-05,5.8
134,1978-09-01,1982-02-05,5.6
135,1978-10-01,1982-02-05,5.8
136,1978-11-01,1982-02-05,5.5
137,1978-12-01,1982-02-05,5.6
138,1979-01-01,1982-02-05,5.9
139,1979-02-01,1982-02-05,5.9
140,1979-03-01,1982-02-05,5.8
141,1979-04-01,1982-02-05,5.5
142,1979-05-01,1982-02-05,5.8
143,1979-06-01,1982-02-05,5.7
144,1979-07-01,1982-02-05,5.9
145,1979-08-01,1982-02-05,4.7
146,1979-09-01,1982-02-05,5.5
147,1979-10-01,1982-02-05,5.5
148,1979-11-01,1982-02-05,5.3
149,1979-12-01,1982-02-05,5.6
150,1980-01-01,1982-02-05,5.3
151,1980-02-01,1982-02-05,5.8
152,1980-03-01,1982-02-05,5.9
153,1980-04-01,1982-02-05,5.8
154,1980-05-01,1982-02-05,5.9
155,1980-06-01,1982-02-05,6.5
156,1980-07-01,1982-02-05,7.0
157,1980-08-01,1982-02-05,7.3
158,1980-09-01,1982-02-05,7.7
159,1980-10-01,1982-02-05,7.4
160,1980-11-01,1982-02-05,7.6
161,1980-12-01,1982-02-05,7.3
162,1981-01-01,1982-02-05,7.4
163,1981-02-01,1982-02-05,7.0
164,1981-03-01,1982-02-05,7.1
165,1981-04-01,1982-02-05,7.6
166,1981-05-01,1982-02-05,7.3
167,1981-06-01,1982-02-05,6.7
168,1981-07-01,1982-02-05,7.0
169,1981-08-01,1982-02-05,7.0
170,1981-09-01,1982-02-05,6.9
171,1981-10-01,1982-02-05,6.8
172,1981-11-01,1982-02-05,6.9
173,1981-12-01,1982-02-05,6.7
174,1982-01-01,1982-02-05,7.2
175,1982-02-01,1982-03-05,7.3
176,1982-03-01,1982-04-02,7.6
177,1982-04-01,1982-05-07,8.5
178,1982-05-01,1982-06-04,9.0
179,1982-06-01,1982-07-02,9.8
180,1982-07-01,1982-08-06,8.3
181,1982-08-01,1982-09-03,8.2
182,1982-09-01,1982-10-08,9.5
183,1982-10-01,1982-11-05,9.6
184,1982-11-01,1982-12-03,10.1
185,1982-12-01,1983-01-07,10.1
186,1983-01-01,1983-02-04,11.5
187,1983-02-01,1983-03-04,9.6
188,1983-03-01,1983-04-01,10.3
189,1983-04-01,1983-05-06,11.3
190,1983-05-01,1983-06-03,12.3
191,1983-06-01,1983-07-08,11.8
192,1983-07-01,1983-08-05,9.9
193,1983-08-01,1983-09-02,8.9
194,1983-09-01,1983-10-07,9.1
195,1983-10-01,1983-11-04,9.3
196,1983-11-01,1983-12-02,9.4
197,1983-12-01,1984-01-06,9.0
198,1984-01-01,1984-02-03,9.2
199,1984-02-01,1984-03-09,8.3
200,1984-03-01,1984-04-06,8.3
201,1984-04-01,1984-05-04,8.1
202,1984-05-01,1984-06-01,8.7
203,1984-06-01,1984-07-06,7.2
204,1984-07-01,1984-08-03,7.6
205,1984-08-01,1984-09-07,7.5
206,1984-09-01,1984-10-05,7.6
207,1984-10-01,1984-11-02,7.2
208,1984-11-01,1984-12-07,7.3
209,1984-12-01,1985-01-09,7.4
210,1985-01-01,1985-02-01,6.7
211,1985-02-01,1985-03-08,7.2
212,1985-03-01,1985-04-05,7.1
213,1985-04-01,1985-05-03,6.7
214,1985-05-01,1985-06-07,6.2
215,1985-06-01,1985-07-05,6.6
216,1985-07-01,1985-08-02,7.2
217,1985-08-01,1985-09-06,7.5
218,1985-09-01,1985-10-04,6.9
219,1985-10-01,1985-11-01,7.1
220,1985-11-01,1985-12-06,7.0
221,1985-12-01,1986-01-08,6.9
222,1986-01-01,1986-02-07,6.8
223,1986-02-01,1986-03-07,6.9
224,1986-03-01,1986-04-04,6.8
225,1986-04-01,1986-05-02,6.5
226,1986-05-01,1986-06-06,6.6
227,1986-06-01,1986-07-03,7.3
228,1986-07-01,1986-08-01,7.1
229,1986-08-01,1986-09-05,7.2
230,1986-09-01,1986-10-03,7.2
231,1986-10-01,1986-11-07,7.0
232,1986-11-01,1986-12-05,7.0
233,1986-12-01,1987-01-09,7.1
234,1987-01-01,1987-02-06,7.0
235,1987-02-01,1987-03-06,6.6
236,1987-03-01,1987-04-03,6.6
237,1987-04-01,1987-05-08,7.0
238,1987-05-01,1987-06-05,6.5
239,1987-06-01,1987-07-02,6.7
240,1987-07-01,1987-08-07,6.7
241,1987-08-01,1987-09-04,6.4
242,1987-09-01,1987-10-02,5.7
243,1987-10-01,1987-11-06,6.2
244,1987-11-01,1987-12-04,6.1
245,1987-12-01,1988-01-08,6.0
246,1988-01-01,1988-02-05,6.4
247,1988-02-01,1988-03-04,6.4
248,1988-03-01,1988-04-01,6.6
249,1988-04-01,1988-05-06,5.6
250,1988-05-01,1988-06-03,5.9
251,1988-06-01,1988-07-08,6.0
252,1988-07-01,1988-08-05,6.3
253,1988-08-01,1988-09-02,5.9
254,1988-09-01,1988-10-07,5.5
255,1988-10-01,1988-11-04,5.6
256,1988-11-01,1988-12-02,5.5
257,1988-12-01,1989-01-06,5.8
258,1989-01-01,1989-02-03,5.7
259,1989-02-01,1989-03-10,5.3
260,1989-03-01,1989-04-07,5.4
261,1989-04-01,1989-05-05,5.4
262,1989-05-01,1989-06-02,5.3
263,1989-06-01,1989-07-07,5.5
264,1989-07-01,1989-08-04,5.6
265,1989-08-01,1989-09-01,5.0
266,1989-09-01,1989-10-06,5.0
267,1989-10-01,1989-11-03,4.9
268,1989-11-01,1989-12-08,4.8
269,1989-12-01,1990-01-05,4.8
270,1990-01-01,1990-02-02,5.1
271,1990-02-01,1990-03-09,5.4
272,1990-03-01,1990-04-06,5.1
273,1990-04-01,1990-05-04,5.0
274,1990-05-01,1990-06-01,5.4
275,1990-06-01,1990-07-06,5.1
276,1990-07-01,1990-08-03,5.2
277,1990-08-01,1990-09-07,5.2
278,1990-09-01,1990-10-05,6.2
279,1990-10-01,1990-11-02,6.0
280,1990-11-01,1990-12-07,5.8
281,1990-12-01,1991-01-04,5.9
282,1991-01-01,1991-02-01,5.9
283,1991-02-01,1991-03-08,6.1
284,1991-03-01,1991-04-05,6.6
285,1991-04-01,1991-05-03,7.0
286,1991-05-01,1991-06-07,6.5
287,1991-06-01,1991-07-05,6.9
288,1991-07-01,1991-08-02,6.6
289,1991-08-01,1991-09-06,7.2
290,1991-09-01,1991-10-04,7.5
291,1991-10-01,1991-11-01,7.4
292,1991-11-01,1991-12-06,7.7
293,1991-12-01,1992-01-10,7.8
294,1992-01-01,1992-02-07,8.1
295,1992-02-01,1992-03-06,8.2
296,1992-03-01,1992-04-03,8.0
297,1992-04-01,1992-05-08,8.8
298,1992-05-01,1992-06-05,9.0
299,1992-06-01,1992-07-02,8.7
300,1992-07-01,1992-08-07,8.5
301,1992-08-01,1992-09-04,8.9
302,1992-09-01,1992-10-02,9.4
303,1992-10-01,1992-11-06,9.3
304,1992-11-01,1992-12-04,9.4
305,1992-12-01,1993-01-08,9.4
306,1993-01-01,1993-02-05,8.5
307,1993-02-01,1993-03-05,8.2
308,1993-03-01,1993-04-02,8.3
309,1993-04-01,1993-05-07,8.5
310,1993-05-01,1993-06-04,8.1
311,1993-06-01,1993-07-02,8.1
312,1993-07-01,1993-08-06,8.2
313,1993-08-01,1993-09-03,8.4
314,1993-09-01,1993-10-08,9.1
315,1993-10-01,1993-11-05,8.3
316,1993-11-01,1993-12-03,8.7
317,1993-12-01,1994-01-07,8.2
318,1994-01-01,1994-02-04,8.5
319,1994-02-01,1994-03-04,9.0
320,1994-03-01,1994-04-01,9.1
321,1994-04-01,1994-05-06,9.2
322,1994-05-01,1994-06-03,9.2
323,1994-06-01,1994-07-08,8.9
324,1994-07-01,1994-08-05,9.3
325,1994-08-01,1994-09-02,9.0
326,1994-09-01,1994-10-07,10.0
327,1994-10-01,1994-11-04,10.4
328,1994-11-01,1994-12-02,9.1
329,1994-12-01,1995-01-06,8.7
330,1995-01-01,1995-02-03,7.9
331,1995-02-01,1995-03-10,7.8
332,1995-03-01,1995-04-07,7.9
333,1995-04-01,1995-05-05,8.5
334,1995-05-01,1995-06-02,9.0
335,1995-06-01,1995-07-07,7.5
336,1995-07-01,1995-08-04,9.1
337,1995-08-01,1995-09-01,8.7
338,1995-09-01,1995-10-06,8.0
339,1995-10-01,1995-11-03,8.1
340,1995-11-01,1995-12-08,7.9
341,1995-12-01,1996-01-19,8.2
342,1996-01-01,1996-02-02,8.1
343,1996-02-01,1996-03-08,8.0
344,1996-03-01,1996-04-05,8.3
345,1996-04-01,1996-05-03,8.8
346,1996-05-01,1996-06-07,8.3
347,1996-06-01,1996-07-05,8.1
348,1996-07-01,1996-08-02,8.6
349,1996-08-01,1996-09-06,8.5
350,1996-09-01,1996-10-04,8.9
351,1996-10-01,1996-11-01,8.3
352,1996-11-01,1996-12-06,7.7
353,1996-12-01,1997-01-10,7.8
354,1997-01-01,1997-02-07,7.7
355,1997-02-01,1997-03-07,8.4
356,1997-03-01,1997-04-04,7.9
357,1997-04-01,1997-05-02,8.3
358,1997-05-01,1997-06-06,8.0
359,1997-06-01,1997-07-03,7.7
360,1997-07-01,1997-08-01,8.5
361,1997-08-01,1997-09-05,7.8
362,1997-09-01,1997-10-03,8.4
363,1997-10-01,1997-11-07,7.6
364,1997-11-01,1997-12-05,7.8
365,1997-12-01,1998-01-09,7.7
366,1998-01-01,1998-02-06,7.4
367,1998-02-01,1998-03-06,7.2
368,1998-03-01,1998-04-03,6.8
369,1998-04-01,1998-05-08,6.4
370,1998-05-01,1998-06-05,5.9
371,1998-06-01,1998-07-02,6.6
372,1998-07-01,1998-08-07,6.6
373,1998-08-01,1998-09-04,6.9
374,1998-09-01,1998-10-02,6.6
375,1998-10-01,1998-11-05,5.8
376,1998-11-01,1998-12-04,6.7
377,1998-12-01,1999-01-08,6.7
378,1999-01-01,1999-02-05,6.9
379,1999-02-01,1999-03-05,7.0
380,1999-03-01,1999-04-02,6.9
381,1999-04-01,1999-05-07,6.1
382,1999-05-01,1999-06-04,6.7
383,1999-06-01,1999-07-02,6.2
384,1999-07-01,1999-08-06,5.7
385,1999-08-01,1999-09-03,6.5
386,1999-09-01,1999-10-08,5.8
387,1999-10-01,1999-11-05,6.4
388,1999-11-01,1999-12-03,6.3
389,1999-12-01,2000-01-07,5.9
390,2000-01-01,2000-02-04,5.7
391,2000-02-01,2000-03-03,6.1
392,2000-03-01,2000-04-07,6.0
393,2000-04-01,2000-05-05,6.0
394,2000-05-01,2000-06-02,5.8
395,2000-06-01,2000-07-07,5.8
396,2000-07-01,2000-08-04,6.0
397,2000-08-01,2000-09-01,6.2
398,2000-09-01,2000-10-06,5.2
399,2000-10-01,2000-11-03,6.2
400,2000-11-01,2000-12-08,6.1
401,2000-12-01,2001-01-05,6.1
402,2001-01-01,2001-02-02,5.9
403,2001-02-01,2001-03-09,6.0
404,2001-03-01,2001-04-06,6.5
405,2001-04-01,2001-05-04,5.8
406,2001-05-01,2001-06-01,6.5
407,2001-06-01,2001-07-06,6.2
408,2001-07-01,2001-08-03,6.7
409,2001-08-01,2001-09-07,6.5
410,2001-09-01,2001-10-05,7.4
411,2001-10-01,2001-11-02,7.4
412,2001-11-01,2001-12-07,7.7
413,2001-12-01,2002-01-04,8.2
414,2002-01-01,2002-02-01,8.8
415,2002-02-01,2002-03-08,8.1
416,2002-03-01,2002-04-05,8.1
417,2002-04-01,2002-05-03,8.9
418,2002-05-01,2002-06-07,9.8
419,2002-06-01,2002-07-05,11.7
420,2002-07-01,2002-08-02,8.6
421,2002-08-01,2002-09-06,8.4
422,2002-09-01,2002-10-04,9.5
423,2002-10-01,2002-11-01,9.6
424,2002-11-01,2002-12-06,9.3
425,2002-12-01,2003-01-10,9.6
426,2003-01-01,2003-02-07,9.8
427,2003-02-01,2003-03-07,9.4
428,2003-03-01,2003-04-04,9.6
429,2003-04-01,2003-05-02,10.2
430,2003-05-01,2003-06-06,10.1
431,2003-06-01,2003-07-03,12.3
432,2003-07-01,2003-08-01,10.0
433,2003-08-01,2003-09-05,9.6
434,2003-09-01,2003-10-03,10.1
435,2003-10-01,2003-11-07,10.3
436,2003-11-01,2003-12-05,10.4
437,2003-12-01,2004-01-09,10.4
438,2004-01-01,2004-02-06,10.7
439,2004-02-01,2004-03-05,10.3
440,2004-03-01,2004-04-02,10.3
441,2004-04-01,2004-05-07,9.5
442,2004-05-01,2004-06-04,10.0
443,2004-06-01,2004-07-02,10.8
444,2004-07-01,2004-08-06,8.9
445,2004-08-01,2004-09-03,9.4
446,2004-09-01,2004-10-08,9.5
447,2004-10-01,2004-11-05,9.5
448,2004-11-01,2004-12-03,9.8
449,2004-12-01,2005-01-07,9.5
450,2005-01-01,2005-02-04,9.4
451,2005-02-01,2005-03-04,9.3
452,2005-03-01,2005-04-01,9.3
453,2005-04-01,2005-05-06,8.9
454,2005-05-01,2005-06-03,9.1
455,2005-06-01,2005-07-08,9.1
456,2005-07-01,2005-08-05,9.0
457,2005-08-01,2005-09-02,9.4
458,2005-09-01,2005-10-07,8.6
459,2005-10-01,2005-11-04,8.6
460,2005-11-01,2005-12-02,8.5
461,2005-12-01,2006-01-06,8.5
462,2006-01-01,2006-02-03,8.4
463,2006-02-01,2006-03-10,8.9
464,2006-03-01,2006-04-07,8.5
465,2006-04-01,2006-05-05,8.5
466,2006-05-01,2006-06-02,8.5
467,2006-06-01,2006-07-07,7.5
468,2006-07-01,2006-08-04,8.2
469,2006-08-01,2006-09-01,8.5
470,2006-09-01,2006-10-06,8.2
471,2006-10-01,2006-11-03,8.1
472,2006-11-01,2006-12-08,8.3
473,2006-12-01,2007-01-05,7.3
474,2007-01-01,2007-02-02,8.1
475,2007-02-01,2007-03-09,8.1
476,2007-03-01,2007-04-06,8.5
477,2007-04-01,2007-05-04,8.7
478,2007-05-01,2007-06-01,8.3
479,2007-06-01,2007-07-06,8.2
480,2007-07-01,2007-08-03,8.9
481,2007-08-01,2007-09-07,8.6
482,2007-09-01,2007-10-05,9.0
483,2007-10-01,2007-11-02,8.7
484,2007-11-01,2007-12-07,8.7
485,2007-12-01,2008-01-04,8.4
486,2008-01-01,2008-02-01,8.8
487,2008-02-01,2008-03-07,8.4
488,2008-03-01,2008-04-04,8.1
489,2008-04-01,2008-05-02,9.3
490,2008-05-01,2008-06-06,8.3
491,2008-06-01,2008-07-03,10.0
492,2008-07-01,2008-08-01,9.7
493,2008-08-01,2008-09-05,9.2
494,2008-09-01,2008-10-03,10.2
495,2008-10-01,2008-11-07,10.6
496,2008-11-01,2008-12-05,10.0
497,2008-12-01,2009-01-09,10.6
498,2009-01-01,2009-02-06,10.3
499,2009-02-01,2009-03-06,11.0
500,2009-03-01,2009-04-03,11.2
501,2009-04-01,2009-05-08,12.5
502,2009-05-01,2009-06-05,14.9
503,2009-06-01,2009-07-02,17.9
504,2009-07-01,2009-08-07,15.7
505,2009-08-01,2009-09-04,15.4
506,2009-09-01,2009-10-02,17.3
507,2009-10-01,2009-11-06,18.7
508,2009-11-01,2009-12-04,20.1
509,2009-12-01,2010-01-08,20.5
510,2010-01-01,2010-02-05,19.9
511,2010-02-01,2010-03-05,19.4
512,2010-03-01,2010-04-02,20.0
513,2010-04-01,2010-05-07,21.6
514,2010-05-01,2010-06-04,23.2
515,2010-06-01,2010-07-02,25.5
516,2010-07-01,2010-08-06,22.2
517,2010-08-01,2010-09-03,19.9
518,2010-09-01,2010-10-08,20.4
519,2010-10-01,2010-11-05,21.2
520,2010-11-01,2010-12-03,21.6
521,2010-12-01,2011-01-07,22.4
522,2011-01-01,2011-02-04,21.8
523,2011-02-01,2011-03-04,21.2
524,2011-03-01,2011-04-01,21.7
525,2011-04-01,2011-05-06,20.7
526,2011-05-01,2011-06-03,22.0
527,2011-06-01,2011-07-08,22.5
528,2011-07-01,2011-08-05,21.2
529,2011-08-01,2011-09-02,21.8
530,2011-09-01,2011-10-07,22.2
531,2011-10-01,2011-11-04,20.8
532,2011-11-01,2011-12-02,21.6
533,2011-12-01,2012-01-06,21.0
534,2012-01-01,2012-02-03,21.1
535,2012-02-01,2012-03-09,20.3
536,2012-03-01,2012-04-06,19.9
537,2012-04-01,2012-05-04,19.4
538,2012-05-01,2012-06-01,20.1
539,2012-06-01,2012-07-06,19.8
540,2012-07-01,2012-08-03,16.7
541,2012-08-01,2012-09-07,18.0
542,2012-09-01,2012-10-05,18.5
