,obs_start_dt,release_dt,value
0,1952-11-01,1998-07-31,86.2
1,1953-02-01,1998-07-31,90.7
2,1953-08-01,1998-07-31,80.8
3,1953-11-01,1998-07-31,80.7
4,1954-02-01,1998-07-31,82.0
5,1954-05-01,1998-07-31,82.9
6,1954-11-01,1998-07-31,87.0
7,1955-02-01,1998-07-31,95.9
8,1955-05-01,1998-07-31,99.1
9,1955-11-01,1998-07-31,99.7
10,1956-05-01,1998-07-31,98.2
11,1956-08-01,1998-07-31,99.9
12,1956-11-01,1998-07-31,100.2
13,1957-05-01,1998-07-31,92.9
14,1957-11-01,1998-07-31,83.7
15,1958-02-01,1998-07-31,78.5
16,1958-05-01,1998-07-31,80.9
17,1958-11-01,1998-07-31,90.8
18,1959-05-01,1998-07-31,95.3
19,1959-11-01,1998-07-31,93.8
20,1960-02-01,1998-07-31,100.0
21,1960-05-01,1998-07-31,93.3
22,1960-08-01,1998-07-31,97.2
23,1960-11-01,1998-07-31,90.1
24,1961-02-01,1998-07-31,91.6
25,1961-05-01,1998-07-31,92.5
26,1961-08-01,1998-07-31,99.2
27,1961-11-01,1998-07-31,93.0
28,1962-02-01,1998-07-31,99.9
29,1962-05-01,1998-07-31,95.4
30,1962-08-01,1998-07-31,91.6
31,1962-11-01,1998-07-31,95.0
32,1963-02-01,1998-07-31,98.4
33,1963-05-01,1998-07-31,91.7
34,1963-08-01,1998-07-31,96.4
35,1963-11-01,1998-07-31,94.4
36,1964-02-01,1998-07-31,99.5
37,1964-05-01,1998-07-31,98.5
38,1964-08-01,1998-07-31,100.6
39,1964-11-01,1998-07-31,99.9
40,1965-02-01,1998-07-31,102.0
41,1965-05-01,1998-07-31,105.4
42,1965-08-01,1998-07-31,103.4
43,1965-11-01,1998-07-31,102.9
44,1966-02-01,1998-07-31,100.0
45,1966-05-01,1998-07-31,95.7
46,1966-08-01,1998-07-31,91.2
47,1966-11-01,1998-07-31,88.3
48,1967-02-01,1998-07-31,94.1
49,1967-05-01,1998-07-31,95.9
50,1967-08-01,1998-07-31,97.0
51,1967-11-01,1998-07-31,92.9
52,1968-02-01,1998-07-31,97.2
53,1968-05-01,1998-07-31,92.4
54,1968-08-01,1998-07-31,92.4
55,1968-11-01,1998-07-31,91.7
56,1969-02-01,1998-07-31,98.2
57,1969-05-01,1998-07-31,91.5
58,1969-08-01,1998-07-31,86.4
59,1969-11-01,1998-07-31,79.7
60,1970-02-01,1998-07-31,78.1
61,1970-05-01,1998-07-31,75.4
62,1970-08-01,1998-07-31,77.6
63,1970-11-01,1998-07-31,72.4
64,1971-02-01,1998-07-31,78.1
65,1971-05-01,1998-07-31,80.2
66,1971-08-01,1998-07-31,82.1
67,1971-11-01,1998-07-31,82.0
68,1972-02-01,1998-07-31,92.8
69,1972-05-01,1998-07-31,88.6
70,1972-08-01,1998-07-31,95.2
71,1972-11-01,1998-07-31,90.7
72,1973-02-01,1998-07-31,81.9
73,1973-05-01,1998-07-31,77.0
74,1973-08-01,1998-07-31,72.0
75,1973-11-01,1998-07-31,76.5
76,1974-02-01,1998-07-31,61.8
77,1974-05-01,1998-07-31,72.1
78,1974-08-01,1998-07-31,64.4
79,1974-11-01,1998-07-31,59.5
80,1975-02-01,1998-07-31,57.6
81,1975-05-01,1998-07-31,72.8
82,1975-08-01,1998-07-31,75.7
83,1975-11-01,1998-07-31,75.6
84,1976-02-01,1998-07-31,84.6
85,1976-05-01,1998-07-31,83.3
86,1976-08-01,1998-07-31,89.7
87,1976-11-01,1998-07-31,87.0
88,1977-02-01,1998-07-31,87.1
89,1977-05-01,1998-07-31,90.2
90,1977-08-01,1998-07-31,89.0
