,obs_start_dt,release_dt,value
0,1948-01-01,2011-03-04,4.0
1,1948-02-01,2011-03-04,4.7
2,1948-03-01,2011-03-04,4.5
3,1948-04-01,2011-03-04,4.0
4,1948-05-01,2011-03-04,3.4
5,1948-06-01,2011-03-04,3.9
6,1948-07-01,2011-03-04,3.9
7,1948-08-01,2011-03-04,3.6
8,1948-09-01,2011-03-04,3.4
9,1948-10-01,2011-03-04,2.9
10,1948-11-01,2011-03-04,3.3
11,1948-12-01,2011-03-04,3.6
12,1949-01-01,2011-03-04,5.0
13,1949-02-01,2011-03-04,5.8
14,1949-03-01,2011-03-04,5.6
15,1949-04-01,2011-03-04,5.4
16,1949-05-01,2011-03-04,5.7
17,1949-06-01,2011-03-04,6.4
18,1949-07-01,2011-03-04,7.0
19,1949-08-01,2011-03-04,6.3
20,1949-09-01,2011-03-04,5.9
21,1949-10-01,2011-03-04,6.1
22,1949-11-01,2011-03-04,5.7
23,1949-12-01,2011-03-04,6.0
24,1950-01-01,2011-03-04,7.6
25,1950-02-01,2011-03-04,7.9
26,1950-03-01,2011-03-04,7.1
27,1950-04-01,2011-03-04,6.0
28,1950-05-01,2011-03-04,5.3
29,1950-06-01,2011-03-04,5.6
30,1950-07-01,2011-03-04,5.3
31,1950-08-01,2011-03-04,4.1
32,1950-09-01,2011-03-04,4.0
33,1950-10-01,2011-03-04,3.3
34,1950-11-01,2011-03-04,3.8
35,1950-12-01,2011-03-04,3.9
36,1951-01-01,2011-03-04,4.4
37,1951-02-01,2011-03-04,4.2
38,1951-03-01,2011-03-04,3.8
39,1951-04-01,2011-03-04,3.2
40,1951-05-01,2011-03-04,2.9
41,1951-06-01,2011-03-04,3.4
42,1951-07-01,2011-03-04,3.3
43,1951-08-01,2011-03-04,2.9
44,1951-09-01,2011-03-04,3.0
45,1951-10-01,2011-03-04,2.8
46,1951-11-01,2011-03-04,3.2
47,1951-12-01,2011-03-04,2.9
48,1952-01-01,2011-03-04,3.7
49,1952-02-01,2011-03-04,3.8
50,1952-03-01,2011-03-04,3.3
51,1952-04-01,2011-03-04,3.0
52,1952-05-01,2011-03-04,2.9
53,1952-06-01,2011-03-04,3.2
54,1952-07-01,2011-03-04,3.3
55,1952-08-01,2011-03-04,3.1
56,1952-09-01,2011-03-04,2.7
57,1952-10-01,2011-03-04,2.4
58,1952-11-01,2011-03-04,2.5
59,1952-12-01,2011-03-04,2.5
60,1953-01-01,2011-03-04,3.4
61,1953-02-01,2011-03-04,3.2
62,1953-03-01,2011-03-04,2.9
63,1953-04-01,2011-03-04,2.8
64,1953-05-01,2011-03-04,2.5
65,1953-06-01,2011-03-04,2.7
