,obs_start_dt,release_dt,value
0,1982-01-01,2011-02-01,-1.85
1,1982-02-01,2011-02-01,-0.99
2,1982-03-01,2011-02-01,-0.56
3,1982-04-01,2011-02-01,-0.55
4,1982-05-01,2011-02-01,-0.47
5,1982-06-01,2011-02-01,-0.5
6,1982-07-01,2011-02-01,-0.72
7,1982-08-01,2011-02-01,-1.17
8,1982-09-01,2011-02-01,-1.1
9,1982-10-01,2011-02-01,-0.8
10,1982-11-01,2011-02-01,0.02
11,1982-12-01,2011-02-01,1.02
12,1983-01-01,2011-02-01,1.83
13,1983-02-01,2011-02-01,1.95
14,1983-03-01,2011-02-01,2.12
15,1983-04-01,2011-02-01,2.49
16,1983-05-01,2011-02-01,2.8
17,1983-06-01,2011-02-01,3.45
18,1983-07-01,2011-02-01,3.89
19,1983-08-01,2011-02-01,2.59
20,1983-09-01,2011-02-01,3.69
21,1983-10-01,2011-02-01,3.94
22,1983-11-01,2011-02-01,4.04
23,1983-12-01,2011-02-01,3.5
24,1984-01-01,2011-02-01,3.26
25,1984-02-01,2011-02-01,3.58
26,1984-03-01,2011-02-01,3.47
27,1984-04-01,2011-02-01,2.93
28,1984-05-01,2011-02-01,2.6
29,1984-06-01,2011-02-01,2.53
30,1984-07-01,2011-02-01,2.48
31,1984-08-01,2011-02-01,2.42
32,1984-09-01,2011-02-01,2.18
33,1984-10-01,2011-02-01,1.95
34,1984-11-01,2011-02-01,2.04
35,1984-12-01,2011-02-01,1.92
36,1985-01-01,2011-02-01,2.3
37,1985-02-01,2011-02-01,1.82
38,1985-03-01,2011-02-01,2.16
39,1985-04-01,2011-02-01,2.21
40,1985-05-01,2011-02-01,2.38
41,1985-06-01,2011-02-01,2.25
42,1985-07-01,2011-02-01,2.02
43,1985-08-01,2011-02-01,2.15
44,1985-09-01,2011-02-01,2.05
45,1985-10-01,2011-02-01,2.12
46,1985-11-01,2011-02-01,2.1
47,1985-12-01,2011-02-01,2.06
48,1986-01-01,2011-02-01,2.0
49,1986-02-01,2011-02-01,1.7
50,1986-03-01,2011-02-01,1.33
51,1986-04-01,2011-02-01,1.38
52,1986-05-01,2011-02-01,1.43
53,1986-06-01,2011-02-01,1.16
54,1986-07-01,2011-02-01,1.33
55,1986-08-01,2011-02-01,1.31
56,1986-09-01,2011-02-01,1.82
57,1986-10-01,2011-02-01,2.15
58,1986-11-01,2011-02-01,2.21
59,1986-12-01,2011-02-01,2.39
60,1987-01-01,2011-02-01,1.95
61,1987-02-01,2011-02-01,2.03
62,1987-03-01,2011-02-01,2.08
63,1987-04-01,2011-02-01,2.32
64,1987-05-01,2011-02-01,2.45
65,1987-06-01,2011-02-01,2.11
66,1987-07-01,2011-02-01,2.27
67,1987-08-01,2011-02-01,2.23
68,1987-09-01,2011-02-01,2.24
69,1987-10-01,2011-02-01,2.68
70,1987-11-01,2011-02-01,2.42
71,1987-12-01,2011-02-01,2.3
72,1988-01-01,2011-02-01,1.24
73,1988-02-01,2011-02-01,1.85
