,obs_start_dt,release_dt,value
0,1990-01-02,2010-11-22,17.24
1,1990-01-03,2010-11-22,18.19
2,1990-01-04,2010-11-22,19.22
3,1990-01-05,2010-11-22,20.11
4,1990-01-08,2010-11-22,20.26
5,1990-01-09,2010-11-22,22.2
6,1990-01-10,2010-11-22,22.44
7,1990-01-11,2010-11-22,20.05
8,1990-01-12,2010-11-22,24.64
9,1990-01-15,2010-11-22,26.34
10,1990-01-16,2010-11-22,24.18
11,1990-01-17,2010-11-22,24.16
12,1990-01-18,2010-11-22,24.34
13,1990-01-19,2010-11-22,22.5
14,1990-01-22,2010-11-22,26.7
15,1990-01-23,2010-11-22,24.72
16,1990-01-24,2010-11-22,25.39
17,1990-01-25,2010-11-22,25.63
18,1990-01-26,2010-11-22,26.28
19,1990-01-29,2010-11-22,26.44
20,1990-01-30,2010-11-22,27.25
21,1990-01-31,2010-11-22,25.36
22,1990-02-01,2010-11-22,24.87
23,1990-02-02,2010-11-22,24.32
24,1990-02-05,2010-11-22,24.54
25,1990-02-06,2010-11-22,24.69
26,1990-02-07,2010-11-22,24.29
27,1990-02-08,2010-11-22,23.77
28,1990-02-09,2010-11-22,23.69
29,1990-02-12,2010-11-22,24.38
30,1990-02-13,2010-11-22,23.76
31,1990-02-14,2010-11-22,22.05
32,1990-02-15,2010-11-22,19.71
33,1990-02-16,2010-11-22,20.78
34,1990-02-19,2014-12-03,
35,1990-02-20,2010-11-22,22.78
36,1990-02-21,2010-11-22,23.89
37,1990-02-22,2010-11-22,22.54
38,1990-02-23,2010-11-22,23.69
39,1990-02-26,2010-11-22,23.56
40,1990-02-27,2010-11-22,22.69
41,1990-02-28,2010-11-22,21.99
42,1990-03-01,2010-11-22,21.9
43,1990-03-02,2010-11-22,21.34
44,1990-03-05,2010-11-22,22.03
45,1990-03-06,2010-11-22,20.55
46,1990-03-07,2010-11-22,19.1
47,1990-03-08,2010-11-22,19.74
48,1990-03-09,2010-11-22,20.3
49,1990-03-12,2010-11-22,20.07
50,1990-03-13,2010-11-22,21.05
51,1990-03-14,2010-11-22,19.65
52,1990-03-15,2010-11-22,18.81
53,1990-03-16,2010-11-22,17.62
54,1990-03-19,2010-11-22,18.29
55,1990-03-20,2010-11-22,19.06
56,1990-03-21,2010-11-22,20.1
57,1990-03-22,2010-11-22,22.74
58,1990-03-23,2010-11-22,20.46
59,1990-03-26,2010-11-22,19.59
60,1990-03-27,2010-11-22,21.01
61,1990-03-28,2010-11-22,19.77
62,1990-03-29,2010-11-22,18.46
63,1990-03-30,2010-11-22,19.73
64,1990-04-02,2010-11-22,22.84
65,1990-04-03,2010-11-22,20.44
66,1990-04-04,2010-11-22,22.03
67,1990-04-05,2010-11-22,21.21
68,1990-04-06,2010-11-22,21.76
69,1990-04-09,2010-11-22,22.3
70,1990-04-10,2010-11-22,21.69
71,1990-04-11,2010-11-22,17.73
72,1990-04-12,2010-11-22,19.8
73,1990-04-13,2014-12-03,
74,1990-04-16,2010-11-22,20.75
75,1990-04-17,2010-11-22,20.38
76,1990-04-18,2010-11-22,22.67
77,1990-04-19,2010-11-22,22.46
78,1990-04-20,2010-11-22,23.33
79,1990-04-23,2010-11-22,24.16
80,1990-04-24,2010-11-22,21.7
81,1990-04-25,2010-11-22,20.86
82,1990-04-26,2010-11-22,20.25
83,1990-04-27,2010-11-22,22.19
84,1990-04-30,2010-11-22,19.52
85,1990-05-01,2010-11-22,18.43
86,1990-05-02,2010-11-22,19.32
87,1990-05-03,2010-11-22,17.81
88,1990-05-04,2010-11-22,17.28
89,1990-05-07,2010-11-22,17.65
90,1990-05-08,2010-11-22,18.49
91,1990-05-09,2010-11-22,18.64
92,1990-05-10,2010-11-22,18.59
93,1990-05-11,2010-11-22,19.81
94,1990-05-14,2010-11-22,20.14
95,1990-05-15,2010-11-22,19.49
96,1990-05-16,2010-11-22,17.71
97,1990-05-17,2010-11-22,17.27
98,1990-05-18,2010-11-22,17.2
99,1990-05-21,2010-11-22,16.72
100,1990-05-22,2010-11-22,17.84
101,1990-05-23,2010-11-22,17.18
102,1990-05-24,2010-11-22,17.7
103,1990-05-25,2010-11-22,17.32
104,1990-05-28,2014-12-03,
105,1990-05-29,2010-11-22,18.75
106,1990-05-30,2010-11-22,17.44
107,1990-05-31,2010-11-22,17.37
108,1990-06-01,2010-11-22,17.09
109,1990-06-04,2010-11-22,18.39
110,1990-06-05,2010-11-22,18.97
111,1990-06-06,2010-11-22,17.42
112,1990-06-07,2010-11-22,16.88
113,1990-06-08,2010-11-22,17.58
114,1990-06-11,2010-11-22,16.34
115,1990-06-12,2010-11-22,16.6
116,1990-06-13,2010-11-22,17.38
117,1990-06-14,2010-11-22,17.4
118,1990-06-15,2010-11-22,15.9
119,1990-06-18,2010-11-22,17.71
120,1990-06-19,2010-11-22,15.23
121,1990-06-20,2010-11-22,15.27
122,1990-06-21,2010-11-22,14.72
123,1990-06-22,2010-11-22,19.36
124,1990-06-25,2010-11-22,17.06
125,1990-06-26,2010-11-22,16.29
126,1990-06-27,2010-11-22,16.0
127,1990-06-28,2010-11-22,16.18
128,1990-06-29,2010-11-22,15.5
129,1990-07-02,2010-11-22,16.26
130,1990-07-03,2010-11-22,16.11
131,1990-07-04,2014-12-03,
132,1990-07-05,2010-11-22,17.25
133,1990-07-06,2010-11-22,16.41
134,1990-07-09,2010-11-22,16.66
135,1990-07-10,2010-11-22,16.92
136,1990-07-11,2010-11-22,16.68
137,1990-07-12,2010-11-22,17.06
